Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Rwanda,SUB-SAHARAN AFRICA,"328,4","91,23",1300 dollars

Saint Helena,SUB-SAHARAN AFRICA,"18,2",19,2500 dollars

Saint Kitts & Nevis,LATIN AMER. & CARIB,"149,9","14,49",8800 dollars

Saint Lucia,LATIN AMER. & CARIB,"273,5","13,53",5400 dollars

St Pierre & Miquelon,NORTHERN AMERICA,"29,0","7,54",6900 dollars

Saint Vincent and the Grenadines,LATIN AMER. & CARIB,"303,0","14,78",2900 dollars

Samoa,OCEANIA,"60,1","27,71",5600 dollars

San Marino,WESTERN EUROPE,"479,5","5,73",34600 dollars

Sao Tome & Principe,SUB-SAHARAN AFRICA,"193,2","43,11",1200 dollars

Saudi Arabia,NEAR EAST,unknown,"13,24",11800 dollars

Senegal,SUB-SAHARAN AFRICA,"61,1","55,51",1600 dollars

Serbia,EASTERN EUROPE,"106,3","12,89",2200 dollars

Seychelles,SUB-SAHARAN AFRICA,"179,2","15,53",unknown

Sierra Leone,SUB-SAHARAN AFRICA,"83,7","143,64",500 dollars

Singapore,ASIA (EX. NEAR EAST),"6482,2","2,29",23700 dollars

Slovakia,EASTERN EUROPE,"111,4","7,41",13300 dollars

Slovenia,EASTERN EUROPE,"99,2","4,45",19000 dollars

Solomon Islands,OCEANIA,"19,4","21,29",1700 dollars

Somalia,SUB-SAHARAN AFRICA,"13,9","116,7",500 dollars

South Africa,SUB-SAHARAN AFRICA,"36,2","61,81",10700 dollars

Spain,WESTERN EUROPE,"80,0","4,42",22000 dollars

Sri Lanka,ASIA (EX. NEAR EAST),"308,2","14,35",3700 dollars

Sudan,SUB-SAHARAN AFRICA,"16,5","62,5",1900 dollars

Suriname,LATIN AMER. & CARIB,"2,7","23,57",400000 dollars

Swaziland,SUB-SAHARAN AFRICA,"65,5","69,27",4900 dollars

Sweden,WESTERN EUROPE,"20,0","2,77",26800 dollars

Switzerland,WESTERN EUROPE,"182,2","4,39",32700 dollars

Syria,NEAR EAST,"102,0","29,53",3300 dollars

Taiwan,ASIA (EX. NEAR EAST),"640,3","6,4",23400 dollars

Tajikistan,C.W. OF IND. STATES,"51,2","110,76",1000 dollars

Tanzania,SUB-SAHARAN AFRICA,"39,6","98,54",600 dollars

Thailand,ASIA (EX. NEAR EAST),"125,7","20,48",7400 dollars

Togo,SUB-SAHARAN AFRICA,"97,7","66,61",1500 dollars

Tonga,OCEANIA,"153,3","12,62",2200 dollars

Trinidad & Tobago,LATIN AMER. & CARIB,"207,9","24,31",9500 dollars

